last_name, first_name,player_id,year,pitch_hand,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z
Urena, Jose,570632,2022,R,96.1,2149,-9.9,-16.9,88.7,2324,1.5,-30.4,90.2,1707,-11.7,-24.7,,,,,95.6,2190,-14.5,-22.4,,,,,,,,
Robles, Hansel,570663,2022,R,96,2306,-14.6,-13.8,82.5,2287,1.6,-29.7,90.2,1607,-14,-22.8,,,,,95.9,2316,-20.4,-12.2,,,,,,,,
Cessa, Luis,570666,2022,R,93.3,2297,-7.4,-16.8,85.7,2528,5.7,-44.2,87.8,1679,-11.5,-29.6,,,,,93.6,2191,-14.8,-20.8,,,,,,,,
Bellatti, Andrew,571479,2022,R,94.4,2436,-10.5,-14.2,83.4,2398,3.6,-33.3,89.5,1697,-16.3,-27.2,,,,,,,,,,,,,,,,
Corbin, Patrick,571578,2022,L,92.1,2120,8.1,-17.6,,2184,-2.9,-39.6,82.5,1631,12.7,-30.4,74.2,1944,-2.5,-51.4,92.9,2069,14.3,-20,,,,,,,,
Farmer, Buck,571656,2022,R,94.6,2325,-10.1,-15.3,85.7,2688,7.5,-37.4,88.7,1678,-14,-34.4,,,,,,,,,,,,,,,,
Floro, Dylan,571670,2022,R,92.4,2177,-10.4,-17.6,81.4,1891,2,-34.9,85.2,1819,-17,-35.7,,,,,92.6,2128,-17.3,-23.2,,,,,,,,
Givens, Mychal,571710,2022,R,93.4,2426,-6.9,-19.2,87.1,2575,6.1,-35.5,82.1,2067,-9.1,-43.7,,,,,,,,,,,,,,,,
Heaney, Andrew,571760,2022,L,93,2442,14.8,-17.5,89.1,2583,-3.6,-38.2,85,2124,16.7,-31.6,,,,,,,,,,,,,,,,
Hutchison, Drew,571800,2022,R,92.4,2258,-3.7,-15.2,89.4,2582,4.5,-37.2,86.5,1738,-13.3,-26.9,,,,,92.7,2302,-11.2,-17.3,,,,,,,,
Loup, Aaron,571901,2022,L,,,,,90.6,,,,80.3,1946,17.6,-45.1,76,2343,-16.2,-46.7,91.2,2130,18.9,-29.4,84.7,2323,0.3,-35.6,,,,
Matz, Steven,571927,2022,L,,,,,83.2,2160,2.2,-25.9,85.1,2322,15.2,-35.8,78,2371,-14.9,-54.6,94.5,2260,15.4,-18.3,,,,,,,,
Mikolas, Miles,571945,2022,R,93.5,2292,-4.9,-16.3,83.9,2382,3.9,-31.1,82.7,1575,-12,-31,76.2,2555,8.7,-63,93,2232,-13.3,-19.5,,,,,,,,
Milner, Hoby,571948,2022,L,89.2,1974,16.4,-27.6,84,,,,81.3,1783,17.1,-39.8,79.5,1887,-13.4,-45.3,88.9,1989,18.5,-34.8,,,,,,,,
Richards, Garrett,572070,2022,R,94.4,2310,0.5,-21.9,86.8,2605,2.3,-35.9,90,1690,-15.2,-30.1,76.7,2859,10.9,-67.2,95.7,2376,-6.4,-20.7,,,,,,,,
Tepera, Ryan,572193,2022,R,92.6,2224,-7.2,-15.1,88.7,2319,5.8,-34,85.8,1241,-11.1,-32.2,81.6,2321,4.6,-44.1,92.9,2182,-16.2,-19.9,,,,,,,,
VerHagen, Drew,572403,2022,R,94.9,2371,-3,-13.5,82.9,2312,16.4,-44.4,89.5,1686,-9.1,-28.8,78.2,2216,9.9,-60.2,94.7,2371,-13.3,-17.6,91.3,2347,-1.3,-23,,,,
Keuchel, Dallas,572971,2022,L,87.9,2185,3.5,-21.6,85.9,2316,-9.8,-45.3,79.2,1551,14.3,-38.7,,,,,87.2,1940,15.4,-30.1,85.2,2167,-1.3,-30,,,,
Mantiply, Joe,573009,2022,L,91,2208,13.2,-21.6,80.8,,,,82.6,1702,16.5,-40.7,81.1,2336,-6.6,-43.4,90.4,2190,18.3,-29.4,,,,,,,,
Rogers, Taylor,573124,2022,L,93.6,2223,8.5,-22.7,81.7,2693,-14.1,-40.4,,,,,,,,,94.3,2168,17,-23.2,,,,,,,,
Stroman, Marcus,573186,2022,R,92.4,2425,-4.2,-18.8,83.3,2672,13.4,-38.3,,,,,81.3,2531,16.2,-44,92,2266,-9,-29,89.4,2576,2.6,-30.9,87,1713,-12.1,-34.4
Thielbar, Caleb,573204,2022,L,92.8,2298,3.2,-12.3,84.1,2368,-14.3,-39.8,82.7,1101,3.8,-28.3,73,2455,-10.5,-68.3,,,,,,,,,,,,
Kikuchi, Yusei,579328,2022,L,94.9,2270,11.5,-13.6,84.7,2353,-3.1,-34.5,87,1563,10.5,-28.1,,,,,,,,,91.1,2255,0.3,-21.9,,,,
Adam, Jason,592094,2022,R,94.8,2654,-6.9,-13,83.4,2719,13.1,-43.3,90,2016,-16.4,-31.8,79.6,2706,16.6,-52.2,,,,,,,,,,,,
Gausman, Kevin,592332,2022,R,95,2265,-10.5,-13.1,86,2198,1.1,-35.1,84.5,1490,-8.5,-31.1,,,,,,,,,,,,,85.2,1571,-15.2,-33.1
Gray, Jon,592351,2022,R,95.9,2015,-11.4,-17.2,85.8,2467,10,-32.5,88.7,1455,-14.2,-26,77.8,2597,14.5,-56,,,,,,,,,,,,
Hembree, Heath,592390,2022,R,94.2,2320,-8.7,-13.7,,2645,8.4,-31.8,,,,,79.5,2659,10.1,-52.4,,,,,,,,,,,,
Ray, Robbie,592662,2022,L,93.4,2282,6.7,-13.4,89.6,2190,-1.5,-28.3,86.9,1759,10.5,-23.1,79.7,2106,-2.5,-43.7,93.3,2190,15.4,-18.8,,,,,,,,
